Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787943266,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943267,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943268,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943269,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943270,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943271,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943272,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943273,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943274,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943275,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943276,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943277,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943278,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
